"county_fips_code","county_name","date","confirmed_cases","deaths","total_pop","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","first_confirmed_case_date","population_density","case_fatality_rate","infection_rate","mortality_rate","avg_activity_change_7_days","new_deaths","new_confirmed_cases"
"06027","Inyo County",2020-10-28,248,16,18195,-11,NA,5,NA,-22,NA,2020-03-22,0.367403318358212,6.45161290322581,0.0136301181643309,0.000879362462214894,0,51,4836
"06027","Inyo County",2020-10-29,248,16,18195,-9,NA,-5,NA,-22,NA,2020-03-22,0.367403318358212,6.45161290322581,0.0136301181643309,0.000879362462214894,0,40,4889
"06027","Inyo County",2020-10-30,248,16,18195,-17,NA,9,NA,-27,NA,2020-03-22,0.367403318358212,6.45161290322581,0.0136301181643309,0.000879362462214894,0,54,4857
"06027","Inyo County",2020-10-31,250,16,18195,-8,NA,9,NA,-20,NA,2020-03-22,0.367403318358212,6.4,0.0137400384721077,0.000879362462214894,0,37,5510
"06027","Inyo County",2020-11-01,251,16,18195,-22,NA,24,NA,-25,NA,2020-03-22,0.367403318358212,6.37450199203187,0.0137949986259962,0.000879362462214894,0,50,4445
"06027","Inyo County",2020-11-02,252,16,18195,-15,NA,6,NA,-21,NA,2020-03-22,0.367403318358212,6.34920634920635,0.0138499587798846,0.000879362462214894,0,58,4953
"06027","Inyo County",2020-11-03,254,16,18195,-7,NA,-7,NA,-19,NA,2020-03-22,0.367403318358212,6.2992125984252,0.0139598790876614,0.000879362462214894,0,54,8430
"06027","Inyo County",2020-11-04,257,16,18195,-18,NA,-13,NA,-21,NA,2020-03-22,0.367403318358212,6.22568093385214,0.0141247595493267,0.000879362462214894,0,37,8246
"06027","Inyo County",2020-11-05,258,16,18195,-13,NA,-9,NA,-21,NA,2020-03-22,0.367403318358212,6.2015503875969,0.0141797197032152,0.000879362462214894,0,47,8430
"06027","Inyo County",2020-11-06,259,16,18195,-21,NA,-8,NA,-21,NA,2020-03-22,0.367403318358212,6.17760617760618,0.0142346798571036,0.000879362462214894,0,41,8111
"06027","Inyo County",2020-11-07,259,16,18195,-8,NA,-7,NA,-18,NA,2020-03-22,0.367403318358212,6.17760617760618,0.0142346798571036,0.000879362462214894,0,54,8506
"06027","Inyo County",2020-11-08,261,16,18195,-26,NA,0,NA,-32,NA,2020-03-22,0.367403318358212,6.13026819923372,0.0143446001648805,0.000879362462214894,0,45,6398
"06027","Inyo County",2020-11-09,263,16,18195,-19,NA,-4,NA,-21,NA,2020-03-22,0.367403318358212,6.08365019011407,0.0144545204726573,0.000879362462214894,0,57,5499
"06027","Inyo County",2020-11-10,267,16,18195,-17,NA,-6,NA,-24,NA,2020-03-22,0.367403318358212,5.99250936329588,0.014674361088211,0.000879362462214894,0,45,11067
"06027","Inyo County",2020-11-11,267,16,18195,-15,NA,1,NA,-43,NA,2020-03-22,0.367403318358212,5.99250936329588,0.014674361088211,0.000879362462214894,0,59,10895
"06027","Inyo County",2020-11-12,268,16,18195,-12,NA,-4,NA,-25,NA,2020-03-22,0.367403318358212,5.97014925373134,0.0147293212420995,0.000879362462214894,0,59,10608
"06027","Inyo County",2020-11-13,270,16,18195,-19,NA,4,NA,-25,NA,2020-03-22,0.367403318358212,5.92592592592593,0.0148392415498763,0.000879362462214894,0,73,11537
"06027","Inyo County",2020-11-14,271,16,18195,-7,NA,6,NA,-20,NA,2020-03-22,0.367403318358212,5.90405904059041,0.0148942017037648,0.000879362462214894,0,82,12432
"06027","Inyo County",2020-11-15,272,16,18195,-18,NA,22,NA,-23,NA,2020-03-22,0.367403318358212,5.88235294117647,0.0149491618576532,0.000879362462214894,0,74,9878
"06027","Inyo County",2020-11-16,273,16,18195,-26,NA,-10,NA,-21,NA,2020-03-22,0.367403318358212,5.86080586080586,0.0150041220115416,0.000879362462214894,0,80,9109
